item_id,prod_info,category,itemID_new,category_num
1050,EPS 材质   遥控模型飞机 Parkzone   UM   SU - 26 xp   微型 运动机   PKZU 1080 ,65-187,0,211
2871,暴龙 bolon 太阳眼镜   女   时尚 正品 2013 新款 潮人   司机 驾驶 墨镜 BL 2212 ,25-6840,1,55
2903,【 天 猫 预售 】 红豆 家纺   竹席 三 件套   双面 折叠 三 件套   凉席 1.51 . 8 ,78-7266,2,274
3678,kaiser 凯撒 正品   印花 圆领 蝙蝠 袖 / 淑女 中袖 / 女装针织衫   春装 新品 ,10-5795,3,2
4579,古凡   全铜   镀铬 花洒套装 明 转 暗 接头   暗装 龙头 转 明装 接头 ,53-3677,4,170
7803,NBA   新款 男女 复古 偏光太阳镜 黑灰 潮 运动太阳眼镜 墨镜 JBJ 0027 A ,25-6840,5,55
7950,3 Sunnysongsmile 三思 专柜正品 3S 超值 淑女 通勤 假两件 短外套 C 11097 ,10-4371,6,1
8000,九 美 风尚   2013 春装 新款 蝴蝶结 圆领长袖针织衫   毛衫   修身 7497 ,10-5795,7,2
9197,FINITY   菲妮迪 正品 女装   冬装 新品   蕾丝 提花 圆领 羊毛 针织套头衫 ,10-5795,8,2
9263,奥 益   东阳木雕   雕花线   墙线   吊顶 边 花   线条   木线   万 字 格 线 花   木条 ,31-5388,9,81
9649,[ 6 折 ]   lecoqsportif 乐卡克 童装 带帽拉链开衫 CB - 5602123 J ,33-1347,10,84
10425,vgrass 维格娜丝夏 套头 一字领 泡泡袖 条纹 修身 拼接针织衫 黑 26091 ,10-5795,11,2
12743,专柜正品 欧普照明 节能灯管 65 W / 85 W / 105 W 大功率 E40 螺口 白光   常用 ,53-7402,12,179
12912,康家 美   不锈钢 执手门锁 / 球型锁 / 球形锁 房门锁   5871 球锁 青古铜 ,21-1233,13,28
13324,四 屏   伸缩   旋转   万向   移动   显示器支架   桌 夹   监控   泰德 适 03 N - 4 ,23-2855,14,45
13882,禅心 阁   印度 老 山 檀 同 料 15 mm 15 颗 佛珠手链 手串 红 肉 老 料 天然 檀香 ,4-1760,15,137
15963,开业 大 促   女人蜜语 美肌 修护 精华 30 ml   舒缓 抗 敏感   正品专柜 化妆品 ,50-3326,16,162
17971,【 茉莉 雅 集 】 杂志 截 载 款 ; 蕾丝 拼接开衫 [ WT 300104 ] ,10-5795,17,2
18285,米格图   2013 秋季新款上衣   欧美风 黑 蕾丝 镂空开衫   长袖 女 短外套 ,10-4371,18,1
20301,快乐 梦想   正品 蚕丝被   100   桑蚕   丝   桐乡   被子 芯 冬被 正品特价 包邮 ,78-141,19,268
20319,阁 兰 苏珊   秋冬款 女装   长袖 修身针织连衣裙   打底连衣裙   5124 B 79082 ,10-5795,20,2
21062,杨 弹 匠 家居   现 卖 现 做 3 斤 100% 新疆棉花 包布 被 被子 被芯 特价 限量抢购 ,78-141,21,268
21721,永恒 颜色 专柜正品 女装 新款 冬装 修身 长款毛衫 假二件套   外套 E 47122 ,10-5795,22,2
24784,永恒 颜色 2013 秋装   新款 女装 专柜正品 印花 针织小衫   女   长袖 F 38302 ,10-5795,23,2
25101,fanny 凡妮 2013 新款 女装 波浪 边 泡泡袖 花边 长袖外套 上衣 1 FS305 ,10-4371,24,1
25373,翰 光 变焦 手电筒 家用 手电   led钥匙扣 迷你手电   袖珍手电筒 小 手电 ,30-3553,25,73
26148,LILY   春 女装   欧美 OL 通勤 复古 优雅 波点 翻领针织衫 开衫   112330 B 388 ,10-5795,26,2
27316,【 馥 家纺 】 纯色 净色 玫红色 老粗布 手工 单人 双人 学生 床单 纯棉 ,78-7687,27,275
27349,爱秀 名媛   2013 新款 短款 时尚 改良 短款旗袍   中式 日常 夏装 旗袍裙 ,10-3448,28,0
27611,【 赫 居 】 和室榻榻米 地垫 床垫 定制 定做 垫子 席子 地板垫 蔺草 天然 环保 ,54-6662,29,187
28127,出色 卫浴   SUS 304 不锈钢 双层浴巾架   毛巾架 60 cm 不 生锈 易 打理 T 7.012 ,53-6047,30,177
